기능 ID,사용 대상,대분류,대분류 코드,중분류,중분류 코드,소분류,소분류 코드,단위 프로세스명,세부 단위 프로세스명
NULLUS_DSS_030_070,데브옵스,DevSecOps 스택,DSS,스택 생성/배포,030,K8s Object Preview,070,DevSecOps 스택 생성될 Kubernetes 오브젝트 YAML 미리보기,"기능: 배포 전 생성될 K8s 오브젝트 YAML 미리보기
구현: Helm template 렌더링, 모달/패널에 표시
데이터/포맷: YAML string"
NULLUS_DSS_030_080,데브옵스,DevSecOps 스택,DSS,스택 생성/배포,030,Deploy Script Preview,080,DevSecOps 스택 배포 스크립트 미리보기 및 클립보드 복사,"기능: 실제 실행될 스크립트 미리보기 및 복사
구현: dry-run 스크립트 생성, navigator.clipboard.writeText
데이터/포맷: shell script string
구현 상태: O | message: Deploy Script Preview에 Observability 설치 순서를 Visualization→Metrics→Logs→Traces로 반영"
NULLUS_DSS_040_010,데브옵스,DevSecOps 스택,DSS,스택 목록 관리,040,스택 목록 조회,010,DevSecOps 스택 목록 조회 (구성된 스택 카드),"기능: 스택 카드 목록 조회
구현: GET /api/v1/stacks, 카드 UI, 검색/필터
데이터/포맷: JSON [{ id, name, status, cluster_name, updated_at }]"
NULLUS_DSS_040_020,데브옵스,DevSecOps 스택,DSS,스택 목록 관리,040,스택 검색,020,DevSecOps 스택 이름 검색,"기능: 이름으로 검색
구현: GET /api/v1/stacks?q=..., SQL LIKE 또는 full-text
데이터/포맷: query param q"
NULLUS_DSS_040_030,데브옵스,DevSecOps 스택,DSS,스택 목록 관리,040,스택 필터/정렬,030,DevSecOps 스택 상태별 필터 및 정렬,"기능: status 필터, 정렬(이름/날짜)
구현: GET /api/v1/stacks?status=&sort=
데이터/포맷: query params"
NULLUS_DSS_040_040,데브옵스,DevSecOps 스택,DSS,스택 목록 관리,040,스택 설정 수정,040,DevSecOps 스택 설정 수정 및 재배포,"기능: 설정 수정 후 재배포
구현: PUT /api/v1/stacks/:id, config 업데이트, POST deploy
데이터/포맷: JSON config"
NULLUS_DSS_040_050,데브옵스,DevSecOps 스택,DSS,스택 목록 관리,040,스택 삭제,050,DevSecOps 스택 삭제 (배포된 K8s 리소스 정리),"기능: 스택 및 K8s 리소스 삭제
구현: DELETE /api/v1/stacks/:id, helm uninstall 호출
데이터/포맷: -"
NULLUS_DSS_050_010,데브옵스,DevSecOps 스택,DSS,스택 이력 관리,050,버전 스냅샷 저장,010,DevSecOps 스택 설정 변경 시 버전 스냅샷 자동 저장,"기능: 설정 변경 시 자동 스냅샷
구현: stack_versions INSERT on config change, version 번호 자동 증가
데이터/포맷: stack_versions { stack_id, version, config_snapshot, changed_by, changed_at }"
NULLUS_DSS_050_020,데브옵스,DevSecOps 스택,DSS,스택 이력 관리,050,이력 목록 조회,020,DevSecOps 스택 버전별 이력 목록 조회,"기능: 버전 이력 목록 조회
구현: GET /api/v1/stacks/:id/versions
데이터/포맷: JSON [{ version, changed_by, changed_at, reason }]"
NULLUS_DSS_050_030,데브옵스,DevSecOps 스택,DSS,스택 이력 관리,050,변경 이력 기록,030,DevSecOps 스택 버전별 변경자/변경시간/변경이유 기록,"기능: 변경 메타데이터 저장
구현: stack_versions에 changed_by, changed_at, reason 저장
데이터/포맷: stack_versions 테이블"
NULLUS_DSS_050_040,데브옵스,DevSecOps 스택,DSS,스택 이력 관리,050,버전 diff 조회,040,DevSecOps 스택 이전 버전과의 diff 표시 (git diff 스타일),"기능: 버전 간 diff 표시
구현: GET /api/v1/stacks/:id/versions/:v1/diff/:v2, json-diff 또는 yaml-diff
데이터/포맷: { added, removed, changed } 또는 unified diff string"
NULLUS_DSS_050_050,데브옵스,DevSecOps 스택,DSS,스택 이력 관리,050,버전 롤백,050,DevSecOps 스택 특정 버전으로 롤백 실행,"기능: 특정 버전으로 롤백
구현: POST /api/v1/stacks/:id/rollback { version }, config 복원 후 재배포
데이터/포맷: { version }"
NULLUS_DSS_060_040,데브옵스,DevSecOps 스택,DSS,OSS 버전 호환성,060,비검증 조합 경고,040,DevSecOps OSS 비검증 도구 조합 선택 시 UI 경고 표시,"기능: 비검증 조합 선택 시 경고
구현: compatibility API에서 조합 검증, 미검증 시 toast/모달 경고
데이터/포맷: { tool_combo } → validated: bool"
NULLUS_DSS_060_050,데브옵스,DevSecOps 스택,DSS,OSS 버전 호환성,060,권장 버전 자동선택,050,DevSecOps OSS 도구 선택 시 호환 최신 버전 자동 선택,"기능: 도구 선택 시 호환 최신 버전 자동 선택
구현: compatibility에서 recommended_version 반환, 드롭다운 기본값
데이터/포맷: { tool_id } → { recommended_version }"
NULLUS_DSS_070_010,데브옵스,DevSecOps 스택,DSS,리소스 예상량 계산,070,입력값 입력,010,DevSecOps 스택 필요 리소스 입력 (개발자 수/동시 러너 수/커밋 수/빌드 빈도),"기능: 리소스 입력 폼
구현: number inputs, dev_count, runner_count, commit_count, build_freq
데이터/포맷: JSON { dev_count, runner_count, commit_count, build_freq }"
NULLUS_DSS_070_020,데브옵스,DevSecOps 스택,DSS,리소스 예상량 계산,070,자동 계산,020,DevSecOps 스택 필요 리소스 자동 계산 (CPU/Memory/Storage/예상 월 비용),"기능: 입력 기반 자동 계산
구현: POST /api/v1/resources/estimate 또는 클라이언트 공식
데이터/포맷: input → { cpu_cores, memory_gi, storage_gi, monthly_cost }"
NULLUS_DSS_070_030,데브옵스,DevSecOps 스택,DSS,리소스 예상량 계산,070,통화 선택,030,DevSecOps 스택 예상 비용 통화 선택 (USD/KRW/CNY),"기능: 통화 선택 드롭다운
구현: currency state, 환율 API 또는 고정 환율로 비용 변환
데이터/포맷: { currency: usd|krw|cny }"
NULLUS_CIC_010_010,데브옵스,CI/CD,CIC,파이프라인 템플릿,010,템플릿 목록 조회,010,CI/CD 파이프라인 템플릿 목록 조회 (Web/Backend/Batch),"기능: 파이프라인 템플릿 목록 조회
구현: GET /api/v1/cicd/templates, 카드/테이블 UI
데이터/포맷: JSON [{ id, name, type, stages }]"
NULLUS_CIC_010_020,데브옵스,CI/CD,CIC,파이프라인 템플릿,010,템플릿 상세 조회,020,CI/CD 파이프라인 템플릿 상세 조회 (단계/도구/변수 안내),"기능: 템플릿 상세 조회
구현: GET /api/v1/cicd/templates/:id
데이터/포맷: JSON { stages, variables, tools }"
NULLUS_CIC_010_030,데브옵스/개발자,CI/CD,CIC,파이프라인 템플릿,010,파라미터 입력,030,CI/CD 파이프라인 파라미터 입력 (Repo/이미지명/환경변수 등),"기능: 파라미터 입력 폼
구현: template variables 기반 동적 폼 생성
데이터/포맷: { repo_url, image_name, env_vars }"
NULLUS_CIC_010_040,데브옵스/개발자,CI/CD,CIC,파이프라인 템플릿,010,CI 설정 에디터,040,CI/CD 파이프라인 CI config 모달 에디터 및 템플릿 적용,"기능: CI config 모달 에디터
구현: Monaco 또는 textarea, .gitlab-ci.yml 등 템플릿 적용
데이터/포맷: YAML string"
NULLUS_CIC_010_050,데브옵스,CI/CD,CIC,파이프라인 템플릿,010,템플릿 버전 조회,050,CI/CD 파이프라인 템플릿 버전 및 변경 이력 표시,"기능: 템플릿 버전 이력 표시
구현: GET /api/v1/cicd/templates/:id/versions
데이터/포맷: JSON [{ version, changed_at }]"
NULLUS_CIC_020_010,데브옵스/개발자,CI/CD,CIC,파이프라인 관리,020,파이프라인 생성,010,CI/CD 파이프라인 생성 (템플릿+파라미터 기반),"기능: 파이프라인 생성
구현: POST /api/v1/cicd/pipelines { template_id, params }, pipelines INSERT
데이터/포맷: JSON { template_id, params }"
NULLUS_CIC_020_020,데브옵스/개발자,CI/CD,CIC,파이프라인 관리,020,파이프라인 목록 조회,020,CI/CD 파이프라인 목록 조회,"기능: 파이프라인 목록 조회
구현: GET /api/v1/cicd/pipelines
데이터/포맷: JSON [{ id, name, status, template_type }]
구현 상태: O | message: CI/CD List 테이블 UX 정렬(우측 상단 검색, 상태 필터, 행 확장 상세 패널 연동)"
NULLUS_CIC_020_030,데브옵스/개발자,CI/CD,CIC,파이프라인 관리,020,파이프라인 상세 조회,030,CI/CD 파이프라인 상세 정보 조회,"기능: 파이프라인 상세 조회
구현: GET /api/v1/cicd/pipelines/:id
데이터/포맷: JSON { config, deployments, history }
구현 상태: O | message: Stack List 수준 상세 패널로 확장(Info/Monitoring/History/Actions 탭, Run/Logs 액션 포함)"
NULLUS_CIC_020_040,데브옵스/개발자,CI/CD,CIC,파이프라인 관리,020,파이프라인 수정,040,CI/CD 파이프라인 설정 수정,"기능: 파이프라인 설정 수정
구현: PUT /api/v1/cicd/pipelines/:id
데이터/포맷: JSON { params }"
NULLUS_CIC_020_050,데브옵스,CI/CD,CIC,파이프라인 관리,020,파이프라인 삭제,050,CI/CD 파이프라인 삭제,"기능: 파이프라인 삭제
구현: DELETE /api/v1/cicd/pipelines/:id, K8s 리소스 정리
데이터/포맷: -"
NULLUS_CIC_020_060,데브옵스/개발자,CI/CD,CIC,파이프라인 관리,020,파이프라인 검색/필터,060,CI/CD 파이프라인 이름 검색 및 상태 필터,"기능: 검색/필터
구현: GET /api/v1/cicd/pipelines?q=&status=
데이터/포맷: query params
구현 상태: O | message: CI/CD List 검색/필터를 DataTable toolbar 패턴으로 통일"
NULLUS_CIC_030_010,데브옵스/개발자,CI/CD,CIC,파이프라인 배포,030,K8s Object 자동 생성,010,CI/CD 파이프라인 배포 시 K8s Object 자동 생성 (Namespace/Deployment/Service/Ingress/Secret/PV-PVC),"기능: 파이프라인 배포 시 K8s 오브젝트 자동 생성
구현: template + params → K8s manifest 렌더링, kubectl apply
데이터/포맷: manifest YAML"
NULLUS_CIC_030_020,데브옵스/개발자,CI/CD,CIC,파이프라인 배포,030,배포 실행,020,CI/CD 파이프라인 배포 실행,"기능: 배포 실행
구현: POST /api/v1/cicd/pipelines/:id/deploy, 백그라운드 Job
데이터/포맷: deploy_jobs"
NULLUS_CIC_030_030,데브옵스/개발자,CI/CD,CIC,파이프라인 배포,030,배포 기록 저장,030,CI/CD 파이프라인 배포 기록 저장 (버전/배포시간/결과),"기능: 배포 이력 저장
구현: pipeline_deployments INSERT { pipeline_id, version, deployed_at, status, result }
데이터/포맷: pipeline_deployments 테이블"
NULLUS_CIC_030_040,데브옵스/개발자,CI/CD,CIC,파이프라인 배포,030,배포 이력 조회,040,CI/CD 파이프라인 배포 이력 목록 조회,"기능: 배포 이력 목록 조회
구현: GET /api/v1/cicd/pipelines/:id/deployments
데이터/포맷: JSON [{ version, deployed_at, status }]
구현 상태: O | message: CI/CD 상세 History 탭에서 배포/실행 이력 조회 UI와 로그 진입 액션 제공"
NULLUS_CIC_030_050,데브옵스/개발자,CI/CD,CIC,파이프라인 배포,030,배포 이력 필터,050,CI/CD 파이프라인 배포 이력 상태별 필터링,"기능: 상태별 필터
구현: GET ?status=success|failed|pending
데이터/포맷: query param"
NULLUS_CIC_030_060,데브옵스/개발자,CI/CD,CIC,파이프라인 배포,030,배포 실패 롤백,060,CI/CD 파이프라인 배포 실패 시 이전 버전으로 롤백,"기능: 실패 시 롤백
구현: POST /api/v1/cicd/pipelines/:id/rollback, 이전 manifest 재적용
데이터/포맷: -"
NULLUS_CIC_030_070,데브옵스/개발자,CI/CD,CIC,파이프라인 배포,030,버전 diff 조회,070,CI/CD 파이프라인 배포 버전 간 diff 조회,"기능: 버전 간 diff 표시
구현: GET /api/v1/cicd/pipelines/:id/deployments/:v1/diff/:v2
데이터/포맷: diff output"
NULLUS_CIC_030_080,데브옵스/개발자,CI/CD,CIC,파이프라인 배포,030,버전 롤백,080,CI/CD 파이프라인 특정 배포 버전으로 롤백,"기능: 특정 버전으로 롤백
구현: POST .../rollback { version }
데이터/포맷: { version }"
NULLUS_CIC_040_060,데브옵스/개발자,CI/CD,CIC,Developer Self-Service,040,역할 전환 UX,060,DevOps/Developer 역할 전환 시 해당 화면 표시,"기능: 역할 전환 시 메뉴/화면 전환
구현: role state, role 변경 시 라우팅/메뉴 필터링, 사이드바 토글
데이터/포맷: user.role → UI 분기"
NULLUS_OBS_010_010,데브옵스/개발자,관측성,OBS,모니터링,010,대시보드 조회,010,모니터링 대시보드 조회 (클러스터/파이프라인/애플리케이션),"기능: 통합 대시보드 조회
구현: GET /api/v1/monitoring/dashboard, Grafana iframe 또는 자체 차트
데이터/포맷: JSON { cluster_health, pipeline_status, tool_health }"
NULLUS_OBS_010_020,데브옵스/개발자,관측성,OBS,모니터링,010,Cluster Health 조회,020,모니터링 Cluster Health 조회 (CPU/MEM/Storage 사용률 바 차트),"기능: 클러스터 리소스 사용률 차트
구현: Prometheus metrics 조회, Recharts 바 차트
데이터/포맷: { cpu_percent, mem_percent, storage_percent }"
NULLUS_OBS_010_030,데브옵스/개발자,관측성,OBS,모니터링,010,Pipeline Status 조회,030,모니터링 Pipeline Status 조회 (성공/실패 건수/성공률/평균 빌드 시간),"기능: 파이프라인 상태 메트릭
구현: Prometheus/GitLab API에서 pipeline metrics 수집
데이터/포맷: { success_count, fail_count, success_rate, avg_build_time }"
NULLUS_OBS_010_040,데브옵스/개발자,관측성,OBS,모니터링,010,Tool Health 조회,040,모니터링 Tool Health 조회 (도구별 Running/Warning/Error 상태),"기능: 도구별 상태 표시
구현: 각 도구 health endpoint 호출 또는 K8s Pod 상태
데이터/포맷: { tool_id: running|warning|error }"
NULLUS_OBS_010_050,데브옵스,관측성,OBS,모니터링,010,핵심 지표 수집,050,모니터링 핵심 지표 수집 (CPU/Memory/Storage/파이프라인 성공률),"기능: Prometheus 등에서 지표 수집
구현: Prometheus scrape config, node-exporter/pipeline-exporter, 메트릭 저장
데이터/포맷: Prometheus format (PromQL)"
NULLUS_OBS_020_010,데브옵스,관측성,OBS,알림 관리,020,알림 규칙 등록,010,알림 규칙 등록 (Slack/Email 등 연동 설정),"기능: 알림 채널 등록
구현: POST /api/v1/alerts/rules, Alertmanager config 업데이트 또는 DB 저장
데이터/포맷: { channel: slack|email, webhook_url|smtp_config }"
NULLUS_OBS_020_020,데브옵스/개발자,관측성,OBS,알림 관리,020,알림 규칙 목록 조회,020,알림 규칙 목록 조회,"기능: 등록된 알림 규칙 목록 조회
구현: GET /api/v1/alerts/rules
데이터/포맷: JSON [{ id, channel, config, enabled }]"
NULLUS_OBS_020_030,데브옵스,관측성,OBS,알림 관리,020,알림 규칙 수정,030,알림 규칙 수정,"기능: 알림 규칙 수정
구현: PUT /api/v1/alerts/rules/:id
데이터/포맷: JSON 동일"
NULLUS_OBS_020_040,데브옵스,관측성,OBS,알림 관리,020,알림 규칙 삭제,040,알림 규칙 삭제,"기능: 알림 규칙 삭제
구현: DELETE /api/v1/alerts/rules/:id
데이터/포맷: -"
NULLUS_OBS_020_050,데브옵스/개발자,관측성,OBS,알림 관리,020,알림 이력 조회,050,알림 발생 이력 조회,"기능: 알림 발생 이력 조회
구현: GET /api/v1/alerts/history, alert_history 테이블
데이터/포맷: JSON [{ fired_at, rule_id, severity, message }]"
NULLUS_CIC_040_010,개발자,CI/CD,CIC,Developer Self-Service,040,앱 템플릿 선택,010,Developer Self-Service 앱 템플릿 선택 (react-spa/next-app/spring-boot 등),"기능: 앱 템플릿 카드 선택
구현: GET /api/v1/app-templates, 카드 UI, react-spa/next-app/spring-boot 등
데이터/포맷: JSON [{ id, name, type, description }]"
NULLUS_CIC_040_020,개발자,CI/CD,CIC,Developer Self-Service,040,카테고리 필터,020,Developer Self-Service 앱 템플릿 카테고리 필터 (Frontend/Backend/Full-stack),"기능: 카테고리별 필터
구현: GET ?category=frontend|backend|fullstack, 필터 UI
데이터/포맷: query param"
NULLUS_CIC_040_030,개발자,CI/CD,CIC,Developer Self-Service,040,배포 위자드 입력,030,Developer Self-Service 앱 배포 위자드 입력 (앱명/레포/클러스터/네임스페이스/리소스/환경변수),"기능: 배포 위자드 다단계 폼
구현: step form, app_name, repo_url, cluster_id, namespace, resources, env_vars
데이터/포맷: JSON { app_name, repo_url, cluster_id, namespace, resources, env }"
NULLUS_CIC_040_040,개발자,CI/CD,CIC,Developer Self-Service,040,매니페스트 미리보기,040,Developer Self-Service YAML 매니페스트 미리보기,"기능: 생성될 K8s 매니페스트 미리보기
구현: template + params → YAML 렌더링, read-only 표시
데이터/포맷: YAML string"
NULLUS_CIC_040_050,개발자,CI/CD,CIC,Developer Self-Service,040,앱 배포 실행,050,Developer Self-Service Deploy to Cluster 실행,"기능: Deploy to Cluster 버튼 클릭 시 배포
구현: POST /api/v1/apps/deploy, K8s manifest 적용
데이터/포맷: 동일 위자드 JSON"
